,Frame,Num_detections,Yolo_det,Sort_tracks,Sort_track_nums,iou_RFID,read_outs
1,1,2,"[[23, 117, 100, 239, 0.9882], [166, 20, 248, 118, 0.346]]","[[166, 20, 248, 118, 2], [23, 117, 100, 239, 1]]","[2, 1]",{},{}
2,2,2,"[[17, 119, 105, 241, 0.9613], [157, 12, 248, 127, 0.9561]]","[[156, 12, 248, 126, 2], [18, 117, 103, 242, 1]]","[2, 1]",{},{}
3,3,2,"[[22, 123, 108, 255, 0.9995], [154, 8, 303, 127, 0.9434]]","[[162, 1, 291, 133, 2], [20, 123, 108, 254, 1]]","[2, 1]",{},{}
4,4,2,"[[21, 117, 105, 245, 0.9999], [153, 14, 312, 130, 0.9917]]","[[161, 4, 307, 137, 2], [20, 118, 106, 248, 1]]","[2, 1]",{},{}
5,5,2,"[[19, 122, 105, 236, 0.9994], [156, 9, 340, 126, 0.9944]]","[[164, 1, 331, 135, 2], [19, 118, 105, 241, 1]]","[2, 1]",{},{}
6,6,2,"[[168, 30, 352, 124, 0.9999], [20, 118, 105, 243, 0.9951]]","[[173, 14, 347, 134, 2], [19, 118, 105, 242, 1]]","[2, 1]",{},{}
7,7,2,"[[196, 35, 366, 128, 0.9997], [18, 116, 105, 244, 0.9987]]","[[191, 24, 365, 135, 2], [18, 116, 105, 243, 1]]","[2, 1]",{},{}
8,8,2,"[[204, 31, 382, 132, 0.9999], [18, 119, 106, 242, 0.9991]]","[[204, 26, 381, 136, 2], [18, 117, 105, 243, 1]]","[2, 1]",{},{}
9,9,2,"[[214, 31, 401, 132, 1.0], [17, 127, 106, 231, 0.9979]]","[[216, 27, 398, 136, 2], [18, 120, 105, 238, 1]]","[2, 1]",{},{}
10,10,2,"[[239, 21, 404, 131, 0.9995], [19, 114, 105, 246, 0.9981]]","[[231, 23, 411, 133, 2], [18, 118, 105, 240, 1]]","[2, 1]",{},{}
11,11,2,"[[251, 29, 417, 130, 1.0], [23, 112, 103, 245, 0.9996]]","[[246, 25, 422, 133, 2], [19, 116, 105, 241, 1]]","[2, 1]",{},{}
12,12,2,"[[22, 115, 102, 241, 0.9994], [263, 23, 432, 127, 0.9992]]","[[259, 22, 435, 130, 2], [20, 115, 104, 240, 1]]","[2, 1]",{},{}
13,13,2,"[[21, 117, 101, 238, 0.9969], [285, 19, 440, 125, 0.9596]]","[[276, 19, 447, 127, 2], [20, 115, 102, 239, 1]]","[2, 1]",{},{}
14,14,2,"[[282, 30, 448, 132, 0.9987], [20, 117, 102, 240, 0.9981]]","[[283, 25, 454, 132, 2], [19, 116, 102, 239, 1]]","[2, 1]",{},{}
15,15,2,"[[293, 32, 445, 129, 0.9992], [20, 122, 102, 234, 0.9954]]","[[290, 28, 456, 132, 2], [20, 118, 101, 237, 1]]","[2, 1]",{},{}
16,16,2,"[[18, 117, 104, 239, 0.9995], [305, 34, 447, 132, 0.9989]]","[[299, 31, 458, 133, 2], [19, 117, 102, 238, 1]]","[2, 1]",{},{}
17,17,2,"[[303, 32, 446, 126, 0.9998], [19, 111, 105, 245, 0.999]]","[[302, 30, 457, 130, 2], [19, 115, 103, 240, 1]]","[2, 1]",{},{}
18,18,2,"[[315, 25, 450, 119, 0.9983], [18, 117, 103, 237, 0.9979]]","[[310, 26, 459, 124, 2], [18, 115, 103, 238, 1]]","[2, 1]",{},{}
19,19,2,"[[336, 21, 467, 116, 0.9987], [18, 115, 103, 238, 0.9973]]","[[327, 22, 471, 119, 2], [18, 115, 102, 238, 1]]","[2, 1]",{},{}
20,20,2,"[[18, 122, 103, 239, 0.996], [345, 10, 471, 123, 0.9466]]","[[339, 17, 478, 118, 2], [18, 118, 102, 239, 1]]","[2, 1]",{},{}
21,21,2,"[[353, 24, 478, 124, 0.9991], [18, 123, 104, 238, 0.999]]","[[349, 21, 484, 121, 2], [18, 120, 103, 239, 1]]","[2, 1]",{},{}
22,22,2,"[[357, 35, 481, 134, 0.9998], [18, 127, 107, 237, 0.9995]]","[[355, 30, 487, 129, 2], [18, 123, 104, 239, 1]]","[2, 1]",{},{}
23,23,2,"[[362, 41, 488, 137, 0.9993], [20, 124, 108, 237, 0.9985]]","[[362, 36, 492, 135, 2], [20, 123, 106, 238, 1]]","[2, 1]",{},{}
